,wavelength,trasmission_c,trasmission_o
0,4110,0.0,0.0
1,4120,0.001,0.0
2,4130,0.002,0.0
3,4140,0.003,0.0
4,4150,0.005,0.0
5,4160,0.008,0.0
6,4170,0.015,0.0
7,4180,0.029,0.0
8,4190,0.057,0.0
9,4200,0.107,0.0
10,4210,0.189,0.0
11,4220,0.303,0.0
12,4230,0.415,0.0
13,4240,0.491,0.0
14,4250,0.53,0.0
15,4260,0.551,0.0
16,4270,0.559,0.0
17,4280,0.561,0.0
18,4290,0.566,0.0
19,4300,0.57,0.0
20,4310,0.571,0.0
21,4320,0.568,0.0
22,4330,0.559,0.0
23,4340,0.554,0.0
24,4350,0.564,0.0
25,4360,0.573,0.0
26,4370,0.571,0.0
27,4380,0.573,0.0
28,4390,0.581,0.0
29,4400,0.583,0.0
30,4410,0.583,0.0
31,4420,0.587,0.0
32,4430,0.588,0.0
33,4440,0.585,0.0
34,4450,0.586,0.0
35,4460,0.591,0.0
36,4470,0.594,0.0
37,4480,0.592,0.0
38,4490,0.592,0.0
39,4500,0.593,0.0
40,4510,0.595,0.0
41,4520,0.598,0.0
42,4530,0.6,0.0
43,4540,0.599,0.0
44,4550,0.596,0.0
45,4560,0.597,0.0
46,4570,0.603,0.0
47,4580,0.609,0.0
48,4590,0.609,0.0
49,4600,0.604,0.0
50,4610,0.596,0.0
51,4620,0.593,0.0
52,4630,0.597,0.0
53,4640,0.603,0.0
54,4650,0.605,0.0
55,4660,0.604,0.0
56,4670,0.608,0.0
57,4680,0.612,0.0
58,4690,0.613,0.0
59,4700,0.61,0.0
60,4710,0.611,0.0
61,4720,0.614,0.0
62,4730,0.616,0.0
63,4740,0.619,0.0
64,4750,0.626,0.0
65,4760,0.635,0.0
66,4770,0.641,0.0
67,4780,0.644,0.0
68,4790,0.645,0.0
69,4800,0.646,0.0
70,4810,0.649,0.0
71,4820,0.651,0.0
72,4830,0.653,0.0
73,4840,0.655,0.0
74,4850,0.657,0.0
75,4860,0.66,0.0
76,4870,0.662,0.0
77,4880,0.665,0.0
78,4890,0.665,0.0
79,4900,0.665,0.0
80,4910,0.662,0.0
81,4920,0.659,0.0
82,4930,0.661,0.0
83,4940,0.666,0.0
84,4950,0.672,0.0
85,4960,0.675,0.0
86,4970,0.675,0.0
87,4980,0.676,0.0
88,4990,0.677,0.0
89,5000,0.679,0.0
90,5010,0.68,0.0
91,5020,0.68,0.0
92,5030,0.678,0.0
93,5040,0.675,0.0
94,5050,0.677,0.0
95,5060,0.679,0.0
96,5070,0.683,0.0
97,5080,0.686,0.0
98,5090,0.688,0.0
99,5100,0.689,0.0
100,5110,0.689,0.0
101,5120,0.689,0.0
102,5130,0.69,0.0
103,5140,0.689,0.0
104,5150,0.686,0.0
105,5160,0.684,0.0
106,5170,0.687,0.0
107,5180,0.692,0.0
108,5190,0.698,0.0
109,5200,0.701,0.0
110,5210,0.702,0.0
111,5220,0.7,0.0
112,5230,0.695,0.0
113,5240,0.691,0.0
114,5250,0.69,0.0
115,5260,0.693,0.0
116,5270,0.694,0.0
117,5280,0.692,0.0
118,5290,0.688,0.0
119,5300,0.685,0.0
120,5310,0.688,0.0
121,5320,0.692,0.0
122,5330,0.697,0.0
123,5340,0.7,0.0
124,5350,0.697,0.0
125,5360,0.695,0.0
126,5370,0.693,0.0
127,5380,0.697,0.0
128,5390,0.702,0.0
129,5400,0.706,0.0
130,5410,0.707,0.0
131,5420,0.703,0.0
132,5430,0.702,0.0
133,5440,0.704,0.0
134,5450,0.709,0.0
135,5460,0.712,0.0
136,5470,0.713,0.0
137,5480,0.714,0.0
138,5490,0.715,0.0
139,5500,0.717,0.0
140,5510,0.715,0.0
141,5520,0.712,0.0
142,5530,0.709,0.0
143,5540,0.708,0.0
144,5550,0.708,0.0
145,5560,0.707,0.0
146,5570,0.706,0.0
147,5580,0.707,0.0
148,5590,0.71,0.0
149,5600,0.713,0.0
150,5610,0.712,0.0
151,5620,0.708,0.0
152,5630,0.705,0.0
153,5640,0.704,0.0
154,5650,0.707,0.0
155,5660,0.71,0.0
156,5670,0.711,0.0
157,5680,0.71,0.0
158,5690,0.709,0.0
159,5700,0.706,0.0
160,5710,0.702,0.0
161,5720,0.695,0.0
162,5730,0.691,0.0
163,5740,0.691,0.0
164,5750,0.696,0.0
165,5760,0.702,0.0
166,5770,0.706,0.0
167,5780,0.707,0.0
168,5790,0.708,0.0
169,5800,0.71,0.0
170,5810,0.711,0.0
171,5820,0.713,0.0
172,5830,0.713,0.0
173,5840,0.713,0.0
174,5850,0.713,0.0
175,5860,0.714,0.0
176,5870,0.714,0.0
177,5880,0.712,0.0
178,5890,0.707,0.0
179,5900,0.705,0.0
180,5910,0.705,0.0
181,5920,0.705,0.0
182,5930,0.708,0.0
183,5940,0.709,0.0
184,5950,0.71,0.0
185,5960,0.711,0.0
186,5970,0.709,0.0
187,5980,0.707,0.0
188,5990,0.704,0.0
189,6000,0.702,0.0
190,6010,0.701,0.0
191,6020,0.701,0.0
192,6030,0.704,0.0
193,6040,0.707,0.0
194,6050,0.71,0.0
195,6060,0.71,0.0
196,6070,0.709,0.0
197,6080,0.708,0.0
198,6090,0.708,0.0
199,6100,0.708,0.0
200,6110,0.709,0.0
201,6120,0.711,0.0
202,6130,0.712,0.0
203,6140,0.712,0.0
204,6150,0.711,0.0
205,6160,0.708,0.0
206,6170,0.703,0.0
207,6180,0.699,0.0
208,6190,0.698,0.0
209,6200,0.7,0.0
210,6210,0.705,0.0
211,6220,0.708,0.0
212,6230,0.707,0.0
213,6240,0.701,0.0
214,6250,0.694,0.0
215,6260,0.691,0.0
216,6270,0.691,0.0
217,6280,0.677,0.0
218,6290,0.69,0.0
219,6300,0.69,0.0
220,6310,0.697,0.0
221,6320,0.702,0.0
222,6330,0.708,0.0
223,6340,0.715,0.0
224,6350,0.718,0.0
225,6360,0.72,0.0
226,6370,0.718,0.0
227,6380,0.718,0.0
228,6390,0.718,0.0
229,6400,0.718,0.0
230,6410,0.717,0.0
231,6420,0.712,0.0
232,6430,0.706,0.0
233,6440,0.7,0.0
234,6450,0.697,0.0
235,6460,0.696,0.0
236,6470,0.696,0.0
237,6480,0.696,0.0
238,6490,0.685,0.0
239,6500,0.623,0.0
240,6510,0.484,0.0
241,6520,0.304,0.0
242,6530,0.143,0.0
243,6540,0.047,0.0
244,6550,0.013,0.0
245,6560,0.004,0.0
246,6570,0.001,0.0
247,6580,0.0,0.0
0,5550,0.0,0.0
1,5560,0.0,0.001
2,5570,0.0,0.002
3,5580,0.0,0.005
4,5590,0.0,0.017
5,5600,0.0,0.058
6,5610,0.0,0.157
7,5620,0.0,0.318
8,5630,0.0,0.488
9,5640,0.0,0.617
10,5650,0.0,0.682
11,5660,0.0,0.707
12,5670,0.0,0.715
13,5680,0.0,0.715
14,5690,0.0,0.714
15,5700,0.0,0.713
16,5710,0.0,0.712
17,5720,0.0,0.71
18,5730,0.0,0.707
19,5740,0.0,0.705
20,5750,0.0,0.704
21,5760,0.0,0.707
22,5770,0.0,0.71
23,5780,0.0,0.712
24,5790,0.0,0.713
25,5800,0.0,0.714
26,5810,0.0,0.714
27,5820,0.0,0.714
28,5830,0.0,0.714
29,5840,0.0,0.715
30,5850,0.0,0.717
31,5860,0.0,0.719
32,5870,0.0,0.72
33,5880,0.0,0.718
34,5890,0.0,0.714
35,5900,0.0,0.714
36,5910,0.0,0.715
37,5920,0.0,0.716
38,5930,0.0,0.717
39,5940,0.0,0.717
40,5950,0.0,0.716
41,5960,0.0,0.717
42,5970,0.0,0.716
43,5980,0.0,0.715
44,5990,0.0,0.714
45,6000,0.0,0.713
46,6010,0.0,0.714
47,6020,0.0,0.715
48,6030,0.0,0.716
49,6040,0.0,0.716
50,6050,0.0,0.715
51,6060,0.0,0.715
52,6070,0.0,0.715
53,6080,0.0,0.716
54,6090,0.0,0.716
55,6100,0.0,0.716
56,6110,0.0,0.717
57,6120,0.0,0.718
58,6130,0.0,0.717
59,6140,0.0,0.715
60,6150,0.0,0.712
61,6160,0.0,0.71
62,6170,0.0,0.711
63,6180,0.0,0.715
64,6190,0.0,0.718
65,6200,0.0,0.719
66,6210,0.0,0.719
67,6220,0.0,0.718
68,6230,0.0,0.719
69,6240,0.0,0.721
70,6250,0.0,0.723
71,6260,0.0,0.725
72,6270,0.0,0.726
73,6280,0.0,0.707
74,6290,0.0,0.719
75,6300,0.0,0.717
76,6310,0.0,0.722
77,6320,0.0,0.723
78,6330,0.0,0.725
79,6340,0.0,0.726
80,6350,0.0,0.727
81,6360,0.0,0.727
82,6370,0.0,0.724
83,6380,0.0,0.721
84,6390,0.0,0.718
85,6400,0.0,0.718
86,6410,0.0,0.721
87,6420,0.0,0.725
88,6430,0.0,0.728
89,6440,0.0,0.729
90,6450,0.0,0.727
91,6460,0.0,0.726
92,6470,0.0,0.725
93,6480,0.0,0.725
94,6490,0.0,0.726
95,6500,0.0,0.728
96,6510,0.0,0.728
97,6520,0.0,0.726
98,6530,0.0,0.729
99,6540,0.0,0.732
100,6550,0.0,0.733
101,6560,0.0,0.734
102,6570,0.0,0.733
103,6580,0.0,0.732
104,6590,0.0,0.732
105,6600,0.0,0.734
106,6610,0.0,0.737
107,6620,0.0,0.738
108,6630,0.0,0.738
109,6640,0.0,0.737
110,6650,0.0,0.735
111,6660,0.0,0.735
112,6670,0.0,0.735
113,6680,0.0,0.737
114,6690,0.0,0.738
115,6700,0.0,0.738
116,6710,0.0,0.737
117,6720,0.0,0.737
118,6730,0.0,0.738
119,6740,0.0,0.74
120,6750,0.0,0.743
121,6760,0.0,0.745
122,6770,0.0,0.746
123,6780,0.0,0.746
124,6790,0.0,0.746
125,6800,0.0,0.746
126,6810,0.0,0.747
127,6820,0.0,0.748
128,6830,0.0,0.748
129,6840,0.0,0.748
130,6850,0.0,0.747
131,6860,0.0,0.746
132,6870,0.0,0.607
133,6880,0.0,0.657
134,6890,0.0,0.666
135,6900,0.0,0.673
136,6910,0.0,0.699
137,6920,0.0,0.712
138,6930,0.0,0.722
139,6940,0.0,0.727
140,6950,0.0,0.733
141,6960,0.0,0.734
142,6970,0.0,0.741
143,6980,0.0,0.741
144,6990,0.0,0.737
145,7000,0.0,0.736
146,7010,0.0,0.735
147,7020,0.0,0.736
148,7030,0.0,0.736
149,7040,0.0,0.737
150,7050,0.0,0.737
151,7060,0.0,0.737
152,7070,0.0,0.736
153,7080,0.0,0.735
154,7090,0.0,0.735
155,7100,0.0,0.735
156,7110,0.0,0.736
157,7120,0.0,0.736
158,7130,0.0,0.736
159,7140,0.0,0.736
160,7150,0.0,0.734
161,7160,0.0,0.733
162,7170,0.0,0.718
163,7180,0.0,0.707
164,7190,0.0,0.69
165,7200,0.0,0.695
166,7210,0.0,0.707
167,7220,0.0,0.724
168,7230,0.0,0.711
169,7240,0.0,0.7
170,7250,0.0,0.699
171,7260,0.0,0.706
172,7270,0.0,0.7
173,7280,0.0,0.7
174,7290,0.0,0.7
175,7300,0.0,0.707
176,7310,0.0,0.698
