,wavelength,c,o
0,411.0,0.0,0.0
1,412.0,0.001,0.0
2,413.0,0.002,0.0
3,414.0,0.003,0.0
4,415.0,0.005,0.0
5,416.0,0.008,0.0
6,417.0,0.015,0.0
7,418.0,0.029,0.0
8,419.0,0.057,0.0
9,420.0,0.107,0.0
10,421.0,0.189,0.0
11,422.0,0.303,0.0
12,423.0,0.415,0.0
13,424.0,0.491,0.0
14,425.0,0.53,0.0
15,426.0,0.551,0.0
16,427.0,0.559,0.0
17,428.0,0.561,0.0
18,429.0,0.566,0.0
19,430.0,0.57,0.0
20,431.0,0.571,0.0
21,432.0,0.568,0.0
22,433.0,0.559,0.0
23,434.0,0.554,0.0
24,435.0,0.564,0.0
25,436.0,0.573,0.0
26,437.0,0.571,0.0
27,438.0,0.573,0.0
28,439.0,0.581,0.0
29,440.0,0.583,0.0
30,441.0,0.583,0.0
31,442.0,0.587,0.0
32,443.0,0.588,0.0
33,444.0,0.585,0.0
34,445.0,0.586,0.0
35,446.0,0.591,0.0
36,447.0,0.594,0.0
37,448.0,0.592,0.0
38,449.0,0.592,0.0
39,450.0,0.593,0.0
40,451.0,0.595,0.0
41,452.0,0.598,0.0
42,453.0,0.6,0.0
43,454.0,0.599,0.0
44,455.0,0.596,0.0
45,456.0,0.597,0.0
46,457.0,0.603,0.0
47,458.0,0.609,0.0
48,459.0,0.609,0.0
49,460.0,0.604,0.0
50,461.0,0.596,0.0
51,462.0,0.593,0.0
52,463.0,0.597,0.0
53,464.0,0.603,0.0
54,465.0,0.605,0.0
55,466.0,0.604,0.0
56,467.0,0.608,0.0
57,468.0,0.612,0.0
58,469.0,0.613,0.0
59,470.0,0.61,0.0
60,471.0,0.611,0.0
61,472.0,0.614,0.0
62,473.0,0.616,0.0
63,474.0,0.619,0.0
64,475.0,0.626,0.0
65,476.0,0.635,0.0
66,477.0,0.641,0.0
67,478.0,0.644,0.0
68,479.0,0.645,0.0
69,480.0,0.646,0.0
70,481.0,0.649,0.0
71,482.0,0.651,0.0
72,483.0,0.653,0.0
73,484.0,0.655,0.0
74,485.0,0.657,0.0
75,486.0,0.66,0.0
76,487.0,0.662,0.0
77,488.0,0.665,0.0
78,489.0,0.665,0.0
79,490.0,0.665,0.0
80,491.0,0.662,0.0
81,492.0,0.659,0.0
82,493.0,0.661,0.0
83,494.0,0.666,0.0
84,495.0,0.672,0.0
85,496.0,0.675,0.0
86,497.0,0.675,0.0
87,498.0,0.676,0.0
88,499.0,0.677,0.0
89,500.0,0.679,0.0
90,501.0,0.68,0.0
91,502.0,0.68,0.0
92,503.0,0.678,0.0
93,504.0,0.675,0.0
94,505.0,0.677,0.0
95,506.0,0.679,0.0
96,507.0,0.683,0.0
97,508.0,0.686,0.0
98,509.0,0.688,0.0
99,510.0,0.689,0.0
100,511.0,0.689,0.0
101,512.0,0.689,0.0
102,513.0,0.69,0.0
103,514.0,0.689,0.0
104,515.0,0.686,0.0
105,516.0,0.684,0.0
106,517.0,0.687,0.0
107,518.0,0.692,0.0
108,519.0,0.698,0.0
109,520.0,0.701,0.0
110,521.0,0.702,0.0
111,522.0,0.7,0.0
112,523.0,0.695,0.0
113,524.0,0.691,0.0
114,525.0,0.69,0.0
115,526.0,0.693,0.0
116,527.0,0.694,0.0
117,528.0,0.692,0.0
118,529.0,0.688,0.0
119,530.0,0.685,0.0
120,531.0,0.688,0.0
121,532.0,0.692,0.0
122,533.0,0.697,0.0
123,534.0,0.7,0.0
124,535.0,0.697,0.0
125,536.0,0.695,0.0
126,537.0,0.693,0.0
127,538.0,0.697,0.0
128,539.0,0.702,0.0
129,540.0,0.706,0.0
130,541.0,0.707,0.0
131,542.0,0.703,0.0
132,543.0,0.702,0.0
133,544.0,0.704,0.0
134,545.0,0.709,0.0
135,546.0,0.712,0.0
136,547.0,0.713,0.0
137,548.0,0.714,0.0
138,549.0,0.715,0.0
139,550.0,0.717,0.0
140,551.0,0.715,0.0
141,552.0,0.712,0.0
142,553.0,0.709,0.0
143,554.0,0.708,0.0
144,555.0,0.708,0.0
145,556.0,0.707,0.001
146,557.0,0.706,0.002
147,558.0,0.707,0.005
148,559.0,0.71,0.017
149,560.0,0.713,0.058
150,561.0,0.712,0.157
151,562.0,0.708,0.318
152,563.0,0.705,0.488
153,564.0,0.704,0.617
154,565.0,0.707,0.682
155,566.0,0.71,0.707
156,567.0,0.711,0.715
157,568.0,0.71,0.715
158,569.0,0.709,0.714
159,570.0,0.706,0.713
160,571.0,0.702,0.712
161,572.0,0.695,0.71
162,573.0,0.691,0.707
163,574.0,0.691,0.705
164,575.0,0.696,0.704
165,576.0,0.702,0.707
166,577.0,0.706,0.71
167,578.0,0.707,0.712
168,579.0,0.708,0.713
169,580.0,0.71,0.714
170,581.0,0.711,0.714
171,582.0,0.713,0.714
172,583.0,0.713,0.714
173,584.0,0.713,0.715
174,585.0,0.713,0.717
175,586.0,0.714,0.719
176,587.0,0.714,0.72
177,588.0,0.712,0.718
178,589.0,0.707,0.714
179,590.0,0.705,0.714
180,591.0,0.705,0.715
181,592.0,0.705,0.716
182,593.0,0.708,0.717
183,594.0,0.709,0.717
184,595.0,0.71,0.716
185,596.0,0.711,0.717
186,597.0,0.709,0.716
187,598.0,0.707,0.715
188,599.0,0.704,0.714
189,600.0,0.702,0.713
190,601.0,0.701,0.714
191,602.0,0.701,0.715
192,603.0,0.704,0.716
193,604.0,0.707,0.716
194,605.0,0.71,0.715
195,606.0,0.71,0.715
196,607.0,0.709,0.715
197,608.0,0.708,0.716
198,609.0,0.708,0.716
199,610.0,0.708,0.716
200,611.0,0.709,0.717
201,612.0,0.711,0.718
202,613.0,0.712,0.717
203,614.0,0.712,0.715
204,615.0,0.711,0.712
205,616.0,0.708,0.71
206,617.0,0.703,0.711
207,618.0,0.699,0.715
208,619.0,0.698,0.718
209,620.0,0.7,0.719
210,621.0,0.705,0.719
211,622.0,0.708,0.718
212,623.0,0.707,0.719
213,624.0,0.701,0.721
214,625.0,0.694,0.723
215,626.0,0.691,0.725
216,627.0,0.691,0.726
217,628.0,0.677,0.707
218,629.0,0.69,0.719
219,630.0,0.69,0.717
220,631.0,0.697,0.722
221,632.0,0.702,0.723
222,633.0,0.708,0.725
223,634.0,0.715,0.726
224,635.0,0.718,0.727
225,636.0,0.72,0.727
226,637.0,0.718,0.724
227,638.0,0.718,0.721
228,639.0,0.718,0.718
229,640.0,0.718,0.718
230,641.0,0.717,0.721
231,642.0,0.712,0.725
232,643.0,0.706,0.728
233,644.0,0.7,0.729
234,645.0,0.697,0.727
235,646.0,0.696,0.726
236,647.0,0.696,0.725
237,648.0,0.696,0.725
238,649.0,0.685,0.726
239,650.0,0.623,0.728
240,651.0,0.484,0.728
241,652.0,0.304,0.726
242,653.0,0.143,0.729
243,654.0,0.047,0.732
244,655.0,0.013,0.733
245,656.0,0.004,0.734
246,657.0,0.001,0.733
247,658.0,0.0,0.732
248,659.0,0.0,0.732
249,660.0,0.0,0.734
250,661.0,0.0,0.737
251,662.0,0.0,0.738
252,663.0,0.0,0.738
253,664.0,0.0,0.737
254,665.0,0.0,0.735
255,666.0,0.0,0.735
256,667.0,0.0,0.735
257,668.0,0.0,0.737
258,669.0,0.0,0.738
259,670.0,0.0,0.738
260,671.0,0.0,0.737
261,672.0,0.0,0.737
262,673.0,0.0,0.738
263,674.0,0.0,0.74
264,675.0,0.0,0.743
265,676.0,0.0,0.745
266,677.0,0.0,0.746
267,678.0,0.0,0.746
268,679.0,0.0,0.746
269,680.0,0.0,0.746
270,681.0,0.0,0.747
271,682.0,0.0,0.748
272,683.0,0.0,0.748
273,684.0,0.0,0.748
274,685.0,0.0,0.747
275,686.0,0.0,0.746
276,687.0,0.0,0.607
277,688.0,0.0,0.657
278,689.0,0.0,0.666
279,690.0,0.0,0.673
280,691.0,0.0,0.699
281,692.0,0.0,0.712
282,693.0,0.0,0.722
283,694.0,0.0,0.727
284,695.0,0.0,0.733
285,696.0,0.0,0.734
286,697.0,0.0,0.741
287,698.0,0.0,0.741
288,699.0,0.0,0.737
289,700.0,0.0,0.736
290,701.0,0.0,0.735
291,702.0,0.0,0.736
292,703.0,0.0,0.736
293,704.0,0.0,0.737
294,705.0,0.0,0.737
295,706.0,0.0,0.737
296,707.0,0.0,0.736
297,708.0,0.0,0.735
298,709.0,0.0,0.735
299,710.0,0.0,0.735
300,711.0,0.0,0.736
301,712.0,0.0,0.736
302,713.0,0.0,0.736
303,714.0,0.0,0.736
304,715.0,0.0,0.734
305,716.0,0.0,0.733
306,717.0,0.0,0.718
307,718.0,0.0,0.707
308,719.0,0.0,0.69
309,720.0,0.0,0.695
310,721.0,0.0,0.707
311,722.0,0.0,0.724
312,723.0,0.0,0.711
313,724.0,0.0,0.7
314,725.0,0.0,0.699
315,726.0,0.0,0.706
316,727.0,0.0,0.7
317,728.0,0.0,0.7
318,729.0,0.0,0.7
319,730.0,0.0,0.707
320,731.0,0.0,0.698
321,732.0,0.0,0.705
322,733.0,0.0,0.71
323,734.0,0.0,0.71
324,735.0,0.0,0.71
325,736.0,0.0,0.71
326,737.0,0.0,0.709
327,738.0,0.0,0.71
328,739.0,0.0,0.708
329,740.0,0.0,0.708
330,741.0,0.0,0.707
331,742.0,0.0,0.706
332,743.0,0.0,0.704
333,744.0,0.0,0.702
334,745.0,0.0,0.7
335,746.0,0.0,0.698
336,747.0,0.0,0.696
337,748.0,0.0,0.695
338,749.0,0.0,0.693
339,750.0,0.0,0.692
340,751.0,0.0,0.69
341,752.0,0.0,0.688
342,753.0,0.0,0.686
343,754.0,0.0,0.684
344,755.0,0.0,0.682
345,756.0,0.0,0.68
346,757.0,0.0,0.679
347,758.0,0.0,0.679
348,759.0,0.0,0.676
349,760.0,0.0,0.321
350,761.0,0.0,0.26
351,762.0,0.0,0.513
352,763.0,0.0,0.357
353,764.0,0.0,0.438
354,765.0,0.0,0.497
355,766.0,0.0,0.563
356,767.0,0.0,0.6
357,768.0,0.0,0.635
358,769.0,0.0,0.64
359,770.0,0.0,0.647
360,771.0,0.0,0.648
361,772.0,0.0,0.648
362,773.0,0.0,0.647
363,774.0,0.0,0.646
364,775.0,0.0,0.645
365,776.0,0.0,0.642
366,777.0,0.0,0.639
367,778.0,0.0,0.636
368,779.0,0.0,0.633
369,780.0,0.0,0.63
370,781.0,0.0,0.628
371,782.0,0.0,0.628
372,783.0,0.0,0.627
373,784.0,0.0,0.627
374,785.0,0.0,0.626
375,786.0,0.0,0.624
376,787.0,0.0,0.622
377,788.0,0.0,0.618
378,789.0,0.0,0.615
379,790.0,0.0,0.609
380,791.0,0.0,0.607
381,792.0,0.0,0.604
382,793.0,0.0,0.602
383,794.0,0.0,0.602
384,795.0,0.0,0.601
385,796.0,0.0,0.597
386,797.0,0.0,0.596
387,798.0,0.0,0.596
388,799.0,0.0,0.592
389,800.0,0.0,0.587
390,801.0,0.0,0.583
391,802.0,0.0,0.578
392,803.0,0.0,0.574
393,804.0,0.0,0.571
394,805.0,0.0,0.569
