# wavelength     response(B)    response(V)    response(Rc)   response(Ic)      QE    reflectivity    
300 0.000162044 0.000175045 0.000179549 0.000139243 19 98.2288
310 0.000261951 0.000278502 0.000314467 0.000197221 26 98.09218
320 0.000244092 0.000224646 0.000211695 0.000192888 32 97.96794
330 0.000365258 0.000274062 0.000344057 0.000267951 37 97.85536
340 0.000444806 0.000369997 0.000469901 0.000305528 42 97.75442
350 0.000530774 0.000455623 0.000422085 0.000252383 49 97.66409
360 0.000653468 0.000613912 0.000604771 0.00047894 55 97.584
370 0.000527048 0.000561922 0.000501887 0.00040757 66 97.51348
380 0.000807768 0.000859124 0.000762765 0.000545527 78 97.45178
390 1.93247 0.000761541 0.000617688 0.000516807 86 97.39831
400 67.5113 0.00103324 0.000909715 0.000830177 89 97.35253
410 82.3505 0.000731966 0.00115007 0.000738377 92 97.31373
420 86.1606 0.000958066 0.00116319 0.000859402 92 97.28131
430 85.2591 0.000622759 0.000709839 0.000632844 92 97.25474
440 87.47 0.000742186 0.000916712 0.00137952 92 97.23347
450 86.5547 0.000667848 0.000583135 0.000462768 91 97.21694
460 86.6595 0.000916721 0.000399377 0.000417201 91 97.20466
470 85.9586 0.00139125 0.000375752 0.000483969 90 97.19614
480 84.8193 0.00700263 0.000227296 0.000468437 90 97.19092
490 83.0581 0.0559212 0.000651716 0.000485991 89 97.18859
500 16.1702 0.6914 0.000571386 0.000260615 89 97.1887
510 0.564909 14.1353 0.000622131 0.00116454 89 97.19094
520 0.0512296 82.8076 0.000564964 0.000450713 89 97.1948
530 0.00614343 84.2703 0.00147326 0.000573906 88 97.20016
540 0.00156413 84.8956 0.00378598 0.000368426 89 97.20657
550 0.00124842 85.2188 0.0298237 0.000517301 89 97.21373
560 0.000755666 85.5588 0.193897 0.000250985 89 97.22138
570 0.000909879 84.6836 4.40566 0.00040093 89 97.22926
580 0.000593447 85.594 50.6036 0.000221263 90 97.23728
590 0.000447186 78.7214 84.924 0.000447943 90 97.24495
600 0.000476331 15.1019 86.5229 0.000581778 90 97.25236
610 0.000350466 0.733963 84.9436 0.000395838 90 97.25919
620 0.000925227 0.0667513 86.9977 0.000675883 91 97.26528
630 0.00185299 0.0112764 86.2691 0.000612849 91 97.27062
640 0.00284133 0.00335197 88.3188 0.00121783 92 97.27485
650 0.00228548 0.00104218 88.1388 0.00153601 92 97.27807
660 0.00169405 0.0006718 88.7568 0.00329428 92 97.2801
670 0.00115731 9.36603e-05 89.1123 0.0085192 93 97.28084
680 0.00152945 0.000418111 89.1713 0.0174132 93 97.28025
690 0.00121083 0.00011349 88.392 0.0756145 93 97.27832
700 0.000849129 0.000343149 89.7072 0.310383 93 97.27491
710 0.000354952 -8.10115e-05 89.6458 1.35948 93 97.27008
720 0.000330795 8.50162e-05 89.7017 13.1873 93 97.26377
730 0.000226868 -3.66955e-05 83.276 52.6589 93 97.07289
740 0.000255651 0.000139335 17.8506 88.709 93 96.46396
750 0.000183773 7.11401e-05 2.18712 88.3177 93 96.21477
760 0.00031105 -9.34084e-05 0.452479 87.7235 92 95.78388
770 0.000240844 0.000212856 0.117168 86.5754 92 95.71401
780 1.4483e-05 -0.000188001 0.0313826 85.9298 91 95.64543
790 0.000408341 6.61978e-05 0.0102494 85.5299 90 95.63918
800 0.000544675 -0.000130222 0.00388556 84.6739 89 95.63157
810 0.000232388 0.000231157 0.00243001 82.7738 87 95.62267
820 0.00092246 0.000418658 0.0016903 81.7194 86 95.61245
830 0.00187897 0.000855976 0.00149512 78.2486 83 95.60106
840 0.000816969 -9.4576e-05 0.00129416 76.8476 81 95.5886
850 0.0261027 -4.77857e-05 0.000655444 74.116 78 95.57515
860 0.000404683 4.32931e-05 0.000497221 71.225 75 95.5697
870 9.35018e-05 -0.000101834 0.000520313 66.5277 72 95.56522
880 0.00064665 0.00024325 0.000711375 50.5341 68 95.56093
890 0.00178816 6.84401e-06 0.000759785 16.1851 64 95.55689
900 0.000307715 0.000671064 0.00104378 2.5657 59 95.55362
910 0.000321557 0.00061557 0.000766564 0.480239 55 95.55106
920 0.000913778 0.000577267 0.000989043 0.115108 50 95.54948
930 0.000487584 0.000670835 0.000664709 0.0336946 45 95.54934
940 0.00047344 0.000444602 0.000803302 0.0117137 40 95.55099
950 0.000392842 0.000324484 0.000373195 0.0047203 35 95.5548
960 6.02293e-05 0.000477319 0.000332644 0.00221191 30 95.56108
970 0.000172314 0.000460717 0.000270947 0.00127377 25 95.57051
980 0.000150257 0.000130456 3.36203e-05 0.000837752 21 95.58355
990 0.000117331 0.000183711 0.000211301 0.000550177 17 95.60126
1000 0.000104296 0.000126493 0.000228453 0.000303822 13 95.62409
1010 5.10073e-05 0.000164708 0.000168465 0.00012453 10 95.65359
1020 1.18917e-05 9.03007e-05 0.000165664 0.0001812 7 95.68668
1030 4.2761e-05 5.26123e-05 9.34784e-05 0.000118815 5 95.72105
1040 2.52685e-05 4.96835e-05 6.50546e-05 5.41533e-05 3 95.75657
1050 2.09412e-05 4.42742e-05 3.10418e-05 2.60197e-05 2 95.79333
1060 1.26049e-05 1.60952e-05 1.49933e-05 9.57248e-06 1 95.83126
1070 0 0 0 0 0 95.87014
1080 0 0 0 0 0 95.90984
1090 0 0 0 0 0 95.95037
1100 0 0 0 0 0 95.991
