wavelength  B V R I atm
300.000 0.000 0.000 0.000 0.000 0.003
301.000 0.000 0.000 0.000 0.000 0.006
302.000 0.000 0.000 0.000 0.000 0.009
303.000 0.000 0.000 0.000 0.000 0.015
304.000 0.000 0.000 0.000 0.000 0.019
305.000 0.000 0.000 0.000 0.000 0.029
306.000 0.000 0.000 0.000 0.000 0.037
307.000 0.000 0.000 0.000 0.000 0.049
308.000 0.000 0.000 0.000 0.000 0.059
309.000 0.000 0.000 0.000 0.000 0.068
310.000 0.000 0.000 0.000 0.000 0.090
311.000 0.000 0.000 0.000 0.000 0.100
312.000 0.000 0.000 0.000 0.000 0.117
313.000 0.000 0.000 0.000 0.000 0.133
314.000 0.000 0.000 0.000 0.000 0.140
315.000 0.000 0.000 0.000 0.000 0.163
316.000 0.000 0.000 0.000 0.000 0.171
317.000 0.000 0.000 0.000 0.000 0.184
318.000 0.000 0.000 0.000 0.000 0.195
319.000 0.000 0.000 0.000 0.000 0.223
320.000 0.000 0.000 0.000 0.000 0.202
321.000 0.000 0.000 0.000 0.000 0.246
322.000 0.000 0.000 0.000 0.000 0.229
323.000 0.000 0.000 0.000 0.000 0.250
324.000 0.000 0.000 0.000 0.000 0.272
325.000 0.000 0.000 0.000 0.000 0.256
326.000 0.000 0.000 0.000 0.000 0.282
327.000 0.000 0.000 0.000 0.000 0.289
328.000 0.000 0.000 0.000 0.000 0.274
329.000 0.000 0.000 0.000 0.000 0.304
330.000 0.000 0.000 0.000 0.000 0.308
331.000 0.000 0.000 0.000 0.000 0.299
332.000 0.000 0.000 0.000 0.000 0.317
333.000 0.000 0.000 0.000 0.000 0.323
334.000 0.000 0.000 0.000 0.000 0.318
335.000 0.000 0.000 0.000 0.000 0.332
336.000 0.000 0.000 0.000 0.000 0.337
337.000 0.000 0.000 0.000 0.000 0.335
338.000 0.000 0.000 0.000 0.000 0.341
339.000 0.000 0.000 0.000 0.000 0.348
340.000 0.000 0.000 0.000 0.000 0.347
341.000 0.000 0.000 0.000 0.000 0.353
342.000 0.000 0.000 0.000 0.000 0.358
343.000 0.000 0.000 0.000 0.000 0.360
344.000 0.000 0.000 0.000 0.000 0.361
345.000 0.000 0.000 0.000 0.000 0.367
