wavelength UVW2 UVM2 UVW1 U B V
160.0 1.00868 0.00837457 0.0 0.0 0.0 0.0
161.0 2.5281 0.022070199999999998 0.249 0.0 0.0 0.0
162.0 4.11951 0.0376906 0.499 0.0 0.0 0.0
163.0 6.339980000000001 0.06238099999999999 0.749 0.0 0.0 0.0
164.0 8.644260000000001 0.0882806 0.998 0.0 0.0 0.0
165.0 10.7878 0.116901 1.247 0.0 0.0 0.0
166.0 12.9915 0.14915 1.497 0.0 0.0 0.0
167.0 14.436 0.179383 1.747 0.0 0.0 0.0
168.0 15.9239 0.20659299999999997 1.917 0.0 0.0 0.0
169.0 16.8892 0.233803 2.041 0.0 0.0 0.0
170.0 17.8851 0.267059 2.142 0.0 0.0 0.0
171.0 18.1128 0.290238 2.159 0.0 0.0 0.0
172.0 18.3002 0.313416 2.196 0.0 0.0 0.0
173.0 19.4341 0.357758 2.33 0.0 0.0 0.0
174.0 20.5404 0.41016199999999997 2.46 0.0 0.0 0.0
175.0 21.3489 0.463574 2.568 0.0 0.0 0.0
176.0 22.1485 0.520009 2.673 0.0 0.0 0.0
177.0 22.4778 0.5784600000000001 2.736 0.0 0.0 0.0
178.0 22.8377 0.636911 2.798 0.0 0.0 0.0
179.0 23.1661 0.708462 2.858 0.0 0.0 0.0
180.0 23.5417 0.787068 2.915 0.0 0.0 0.0
181.0 23.8701 0.87676 2.988 0.0 0.0 0.0
182.0 24.1777 0.972498 3.058 0.0 0.0 0.0
183.0 24.5396 1.08839 3.109 0.0 0.0 0.0
184.0 24.8442 1.2194 3.191 0.0 0.0 0.0
185.0 25.1154 1.35041 3.271 0.0 0.0 0.0
186.0 25.634 1.52173 3.348 0.0 0.0 0.0
187.0 25.9772 1.71321 3.438 0.0 0.0 0.0
188.0 26.4386 1.80391 3.542 0.0 0.0 0.0
189.0 26.553 2.08608 3.787 0.0 0.0 0.0
190.0 26.7817 2.49927 3.881 0.0 0.0 0.0
191.0 26.4662 2.8721400000000004 3.875 0.0 0.0 0.0
192.0 26.267 3.39618 3.962 0.0 0.0 0.0
193.0 26.0265 3.96054 3.999 0.0 0.0 0.0
194.0 25.7169 4.68613 4.064 0.0 0.0 0.0
195.0 25.4575 5.542730000000001 4.125 0.0 0.0 0.0
196.0 25.2958 6.52027 4.212 0.0 0.0 0.0
197.0 25.0986 7.65905 4.309 0.0 0.0 0.0
198.0 24.9448 8.92884 4.43 0.0 0.0 0.0
199.0 24.722 10.2793 4.503 0.0 0.0 0.0
200.0 24.5258 11.7909 4.614 0.0 0.0 0.0
201.0 24.0249 13.2018 4.677 0.0 0.0 0.0
202.0 23.5023 14.6127 4.737 0.0 0.0 0.0
203.0 22.9955 15.9228 4.818 0.0 0.0 0.0
204.0 22.4335 17.0313 4.894 0.0 0.0 0.0
205.0 21.9129 17.9383 4.965 0.0 0.0 0.0
206.0 21.3508 18.7445 5.056 0.0 0.0 0.0
