,Unnamed: 0,wavelength,g_multi,r_multi,atm,g_single,r_single
0,0,350,0.0,0.0,0.384,0.0,0.0
1,1,351,0.0,0.0,0.387,0.0,0.0
2,2,352,0.0,0.0,0.389,0.0,0.0
3,3,353,0.0,0.0,0.392,0.0,0.0
4,4,354,0.0,0.0,0.395,0.0,0.0
5,5,355,0.0,0.0,0.398,0.0,0.0
6,6,356,0.0,0.0,0.401,0.0,0.0
7,7,357,0.0,0.0,0.403,0.0,0.0
8,8,358,0.0,0.0,0.406,0.0,0.0
9,9,359,0.0,0.0,0.408,0.0,0.0
10,10,360,0.0,0.0,0.411,0.0,0.0
11,11,361,0.0,0.0,0.414,0.0,0.0
12,12,362,0.0,0.0,0.417,0.0,0.0
13,13,363,0.0,0.0,0.42,0.0,0.0
14,14,364,0.0,0.0,0.423,0.0,0.0
15,15,365,0.0,0.0,0.426,0.0,0.0
16,16,366,0.0,0.0,0.429,0.0,0.0
17,17,367,0.002,0.0,0.431,0.001,0.0
18,18,368,0.002,0.0,0.434,0.001,0.0
19,19,369,0.001,0.0,0.437,0.001,0.0
20,20,370,0.002,0.0,0.439,0.001,0.0
21,21,371,0.001,0.0,0.442,0.001,0.0
22,22,372,0.001,0.0,0.444,0.001,0.0
23,23,373,0.002,0.0,0.447,0.001,0.0
24,24,374,0.001,0.0,0.449,0.001,0.0
25,25,375,0.001,0.0,0.451,0.001,0.0
26,26,376,0.001,0.0,0.454,0.001,0.0
27,27,377,0.001,0.0,0.456,0.001,0.0
28,28,378,0.001,0.0,0.458,0.001,0.0
29,29,379,0.001,0.0,0.46,0.001,0.0
30,30,380,0.001,0.0,0.462,0.001,0.0
31,31,381,0.001,0.0,0.465,0.001,0.0
32,32,382,0.001,0.0,0.468,0.001,0.0
33,33,383,0.001,0.0,0.47,0.001,0.0
34,34,384,0.001,0.0,0.473,0.001,0.0
35,35,385,0.001,0.0,0.475,0.001,0.0
36,36,386,0.001,0.0,0.477,0.001,0.0
37,37,387,0.001,0.0,0.479,0.001,0.0
38,38,388,0.001,0.0,0.482,0.001,0.0
39,39,389,0.001,0.0,0.484,0.001,0.0
40,40,390,0.001,0.0,0.486,0.001,0.0
41,41,391,0.001,0.0,0.488,0.001,0.0
42,42,392,0.001,0.0,0.49,0.001,0.0
43,43,393,0.001,0.0,0.492,0.001,0.0
44,44,394,0.001,0.0,0.494,0.001,0.0
45,45,395,0.001,0.0,0.496,0.001,0.0
46,46,396,0.001,0.0,0.498,0.001,0.0
47,47,397,0.001,0.0,0.5,0.001,0.0
48,48,398,0.001,0.0,0.502,0.001,0.0
49,49,399,0.001,0.0,0.504,0.001,0.0
50,50,400,0.001,0.0,0.506,0.001,0.0
51,51,401,0.001,0.0,0.508,0.001,0.0
52,52,402,0.001,0.0,0.51,0.001,0.0
53,53,403,0.001,0.0,0.512,0.001,0.0
54,54,404,0.001,0.0,0.514,0.001,0.0
55,55,405,0.002,0.0,0.516,0.001,0.0
56,56,406,0.002,0.0,0.518,0.001,0.0
57,57,407,0.002,0.0,0.52,0.002,0.0
58,58,408,0.003,0.0,0.522,0.002,0.0
59,59,409,0.005,0.0,0.523,0.004,0.0
60,60,410,0.013,0.0,0.525,0.011,0.0
61,61,411,0.034,0.0,0.527,0.027,0.0
62,62,412,0.067,0.0,0.529,0.054,0.0
63,63,413,0.117,0.0,0.531,0.096,0.0
64,64,414,0.198,0.0,0.532,0.162,0.0
65,65,415,0.31,0.0,0.534,0.254,0.0
66,66,416,0.383,0.0,0.536,0.318,0.0
67,67,417,0.408,0.0,0.537,0.338,0.0
68,68,418,0.41,0.0,0.539,0.34,0.0
69,69,419,0.419,0.0,0.541,0.348,0.0
70,70,420,0.44,0.0,0.542,0.37,0.0
71,71,421,0.457,0.0,0.544,0.384,0.0
72,72,422,0.459,0.0,0.546,0.386,0.0
73,73,423,0.448,0.0,0.547,0.381,0.0
74,74,424,0.443,0.0,0.549,0.377,0.0
75,75,425,0.444,0.0,0.55,0.378,0.0
76,76,426,0.449,0.0,0.552,0.387,0.0
77,77,427,0.455,0.0,0.553,0.392,0.0
78,78,428,0.455,0.0,0.555,0.392,0.0
79,79,429,0.458,0.0,0.556,0.4,0.0
80,80,430,0.461,0.0,0.558,0.403,0.0
81,81,431,0.468,0.0,0.559,0.409,0.0
82,82,432,0.475,0.0,0.561,0.415,0.0
83,83,433,0.477,0.0,0.562,0.421,0.0
84,84,434,0.479,0.0,0.564,0.425,0.0
85,85,435,0.48,0.0,0.565,0.425,0.0
86,86,436,0.48,0.0,0.566,0.425,0.0
87,87,437,0.48,0.0,0.568,0.43,0.0
88,88,438,0.47,0.0,0.569,0.422,0.0
89,89,439,0.462,0.0,0.571,0.415,0.0
90,90,440,0.454,0.0,0.572,0.408,0.0
91,91,441,0.452,0.0,0.573,0.412,0.0
92,92,442,0.458,0.0,0.574,0.417,0.0
93,93,443,0.468,0.0,0.576,0.427,0.0
94,94,444,0.477,0.0,0.577,0.435,0.0
95,95,445,0.488,0.0,0.578,0.45,0.0
96,96,446,0.487,0.0,0.579,0.449,0.0
97,97,447,0.484,0.0,0.581,0.446,0.0
98,98,448,0.477,0.0,0.582,0.442,0.0
99,99,449,0.481,0.0,0.583,0.45,0.0
100,100,450,0.474,0.0,0.585,0.444,0.0
101,101,451,0.475,0.0,0.586,0.444,0.0
102,102,452,0.479,0.0,0.587,0.448,0.0
103,103,453,0.476,0.0,0.588,0.45,0.0
104,104,454,0.479,0.0,0.59,0.453,0.0
105,105,455,0.488,0.0,0.591,0.462,0.0
106,106,456,0.488,0.0,0.592,0.461,0.0
107,107,457,0.489,0.0,0.593,0.463,0.0
108,108,458,0.502,0.0,0.594,0.48,0.0
109,109,459,0.502,0.0,0.595,0.481,0.0
110,110,460,0.5,0.0,0.596,0.479,0.0
111,111,461,0.498,0.0,0.597,0.477,0.0
112,112,462,0.497,0.0,0.598,0.482,0.0
113,113,463,0.495,0.0,0.599,0.48,0.0
114,114,464,0.494,0.0,0.6,0.478,0.0
115,115,465,0.495,0.0,0.601,0.48,0.0
116,116,466,0.494,0.0,0.602,0.479,0.0
117,117,467,0.5,0.0,0.604,0.489,0.0
118,118,468,0.497,0.0,0.605,0.486,0.0
