wavelength	g	r	atm
350	0.0	0.0	0.384
351	0.0	0.0	0.387
352	0.0	0.0	0.389
353	0.0	0.0	0.392
354	0.0	0.0	0.395
355	0.0	0.0	0.398
356	0.0	0.0	0.401
357	0.0	0.0	0.403
358	0.0	0.0	0.406
359	0.0	0.0	0.408
360	0.0	0.0	0.411
361	0.0	0.0	0.414
362	0.0	0.0	0.417
363	0.0	0.0	0.42
364	0.0	0.0	0.423
365	0.0	0.0	0.426
366	0.0	0.0	0.429
367	0.002	0.0	0.431
368	0.002	0.0	0.434
369	0.001	0.0	0.437
370	0.002	0.0	0.439
371	0.001	0.0	0.442
372	0.001	0.0	0.444
373	0.002	0.0	0.447
374	0.001	0.0	0.449
375	0.001	0.0	0.451
376	0.001	0.0	0.454
377	0.001	0.0	0.456
378	0.001	0.0	0.458
379	0.001	0.0	0.46
380	0.001	0.0	0.462
381	0.001	0.0	0.465
382	0.001	0.0	0.468
383	0.001	0.0	0.47
384	0.001	0.0	0.473
385	0.001	0.0	0.475
386	0.001	0.0	0.477
387	0.001	0.0	0.479
388	0.001	0.0	0.482
389	0.001	0.0	0.484
390	0.001	0.0	0.486
391	0.001	0.0	0.488
392	0.001	0.0	0.49
393	0.001	0.0	0.492
394	0.001	0.0	0.494
395	0.001	0.0	0.496
396	0.001	0.0	0.498
397	0.001	0.0	0.5
398	0.001	0.0	0.502
399	0.001	0.0	0.504
400	0.001	0.0	0.506
401	0.001	0.0	0.508
402	0.001	0.0	0.51
403	0.001	0.0	0.512
404	0.001	0.0	0.514
405	0.002	0.0	0.516
406	0.002	0.0	0.518
407	0.002	0.0	0.52
408	0.003	0.0	0.522
409	0.005	0.0	0.523
410	0.013	0.0	0.525
411	0.034	0.0	0.527
412	0.067	0.0	0.529
413	0.117	0.0	0.531
414	0.198	0.0	0.532
415	0.31	0.0	0.534
416	0.383	0.0	0.536
417	0.408	0.0	0.537
418	0.41	0.0	0.539
419	0.419	0.0	0.541
420	0.44	0.0	0.542
421	0.457	0.0	0.544
422	0.459	0.0	0.546
423	0.448	0.0	0.547
424	0.443	0.0	0.549
425	0.444	0.0	0.55
426	0.449	0.0	0.552
427	0.455	0.0	0.553
428	0.455	0.0	0.555
429	0.458	0.0	0.556
430	0.461	0.0	0.558
431	0.468	0.0	0.559
432	0.475	0.0	0.561
433	0.477	0.0	0.562
434	0.479	0.0	0.564
435	0.48	0.0	0.565
436	0.48	0.0	0.566
437	0.48	0.0	0.568
438	0.47	0.0	0.569
439	0.462	0.0	0.571
440	0.454	0.0	0.572
441	0.452	0.0	0.573
442	0.458	0.0	0.574
443	0.468	0.0	0.576
444	0.477	0.0	0.577
445	0.488	0.0	0.578
446	0.487	0.0	0.579
447	0.484	0.0	0.581
448	0.477	0.0	0.582
449	0.481	0.0	0.583
450	0.474	0.0	0.585
451	0.475	0.0	0.586
452	0.479	0.0	0.587
453	0.476	0.0	0.588
454	0.479	0.0	0.59
455	0.488	0.0	0.591
456	0.488	0.0	0.592
457	0.489	0.0	0.593
458	0.502	0.0	0.594
459	0.502	0.0	0.595
460	0.5	0.0	0.596
461	0.498	0.0	0.597
462	0.497	0.0	0.598
463	0.495	0.0	0.599
464	0.494	0.0	0.6
465	0.495	0.0	0.601
466	0.494	0.0	0.602
467	0.5	0.0	0.604
468	0.497	0.0	0.605
469	0.495	0.0	0.605
470	0.496	0.0	0.606
471	0.494	0.0	0.607
472	0.499	0.0	0.608
473	0.497	0.0	0.608
474	0.506	0.0	0.608
475	0.508	0.0	0.609
476	0.51	0.0	0.609
477	0.509	0.0	0.609
478	0.508	0.0	0.61
479	0.505	0.0	0.611
480	0.501	0.0	0.613
481	0.497	0.0	0.614
482	0.493	0.0	0.615
483	0.491	0.0	0.616
484	0.493	0.0	0.618
485	0.496	0.0	0.618
486	0.501	0.0	0.619
487	0.506	0.0	0.62
488	0.511	0.0	0.621
489	0.516	0.0	0.622
490	0.514	0.0	0.623
491	0.517	0.0	0.624
492	0.521	0.0	0.625
493	0.514	0.0	0.625
494	0.517	0.0	0.626
495	0.517	0.0	0.627
496	0.51	0.0	0.627
497	0.511	0.0	0.628
498	0.508	0.0	0.628
499	0.506	0.0	0.628
500	0.503	0.0	0.629
501	0.504	0.0	0.629
502	0.506	0.0	0.629
503	0.508	0.0	0.63
504	0.51	0.0	0.63
505	0.512	0.0	0.63
506	0.516	0.0	0.631
507	0.516	0.0	0.632
508	0.519	0.0	0.632
509	0.516	0.0	0.633
510	0.519	0.0	0.634
511	0.517	0.0	0.635
512	0.515	0.0	0.635
513	0.518	0.0	0.636
514	0.518	0.0	0.636
515	0.517	0.0	0.637
516	0.518	0.0	0.638
517	0.515	0.0	0.638
518	0.518	0.0	0.638
