Model                                            Days since SBO
r1w1h_nb6                                        0.00003
r1w1h_nb7                                        0.16663
r1w1h_nb8                                        0.33333
r1w1h_nb9                                        0.50003
r1w1h_nb10                                       0.66663
r1w1h_nb11                                       0.83333
r1w1h_nb12                                       1.00003
r1w1h_nb18                                       2.00001
r1w1h_nb24                                       3.00002
r1w1h_nb30                                       4.00001
r1w1h_nb36                                       5.00005
r1w1h_nb48                                       7.00002
r1w1h_nb60                                       9.00011
r1w1h_nb90                                       14.00011
