MJD FILTER EXPTIME AIRMASS EPOCH
57070.08796493 r 86.0 1.73 1.0
57070.15538217 g 86.0 1.26 2.0
57070.24127751 g 86.0 1.17 3.0
57070.3099969 g 86.0 1.36 4.0
57070.35698186 g 86.0 1.76 5.0
57071.084442 g 86.0 1.74 6.0
57071.15191993 g 86.0 1.27 7.0
57071.2200948 g 86.0 1.16 8.0
57071.29024103 g 86.0 1.29 9.0
57071.35921405 g 86.0 1.83 10.0
57072.08122016 g 86.0 1.74 11.0
57072.14856272 g 86.0 1.27 12.0
57072.21829654 g 86.0 1.16 13.0
57072.28722496 g 86.0 1.28 14.0
57072.35632157 g 86.0 1.82 15.0
57073.07853151 g 86.0 1.74 16.0
57074.07589548 g 86.0 1.74 17.0
57074.3433736 g 86.0 1.73 18.0
57075.07371697 g 86.0 1.74 19.0
57075.14101172 g 86.0 1.27 20.0
57075.20929555 g 86.0 1.16 21.0
57075.27816592 g 86.0 1.28 22.0
57075.3468375 g 86.0 1.81 23.0
57077.05839641 r 86.0 1.87 24.0
57077.12578603 g 86.0 1.3 25.0
57077.18731091 g 86.0 1.16 26.0
57080.11716242 g 86.0 1.31 27.0
57080.18545705 g 86.0 1.16 28.0
57095.18509723 g 86.0 1.18 30.0
