DATE        FILTER  AIRMASS
2017/10/19.9    g   1.2
2017/10/20      B   1.2
2017/10/20.1    V   1.2
2017/10/21      B   1.2
2017/10/21.1    R   1.2
2017/10/22      B   1.2
2017/10/22.1    I   1.2
2017/10/23      B   1.2
2017/10/23.1    V   1.2
2017/10/24      B   1.2
2017/10/24.1    R   1.2
2017/10/25      B   1.2
2017/10/25.1    I   1.2
2017/10/26      B   1.2
2017/10/26.1    V   1.2
2017/10/27      B   1.2
2017/10/27.1    R   1.2
2017/10/28      B   1.2
2017/10/28.1    I   1.2
2017/10/29      B   1.2
2017/10/29.1    V   1.2
2017/11/28      B   1.2
2017/11/28.1    R   1.2
2017/11/29      B   1.2
2017/11/29.1    I   1.2
2017/11/30      B   1.2
2017/11/30.1    V   1.2
2017/12/01      B   1.2
2017/12/01.1    R   1.2
2017/12/02      B   1.2
2017/12/02.1    I   1.2
2017/12/03      B   1.2
2017/12/03.1    V   1.2
2017/12/04      B   1.2
2017/12/04.1    R   1.2
2017/12/05      B   1.2
2017/12/05.1    I   1.2
2017/12/06      B   1.2
2017/12/06.1    V   1.2
2017/12/07      B   1.2
2017/12/07.1    R   1.2
2018/01/05      B   1.2
2018/01/05.1    I   1.2
2018/01/06      B   1.2
2018/01/06.1    V   1.2
2018/01/07      B   1.2
2018/01/07.1    R   1.2
2018/01/08      B   1.2
2018/01/08.1    I   1.2
2018/01/09      B   1.2
2018/01/09.1    V   1.2
2018/01/10      B   1.2
2018/01/10.1    R   1.2
2018/01/11      B   1.2
2018/01/11.1    I   1.2
2018/01/12      B   1.2
2018/01/12.1    V   1.2
2018/01/13      B   1.2
2018/01/13.1    R   1.2
2018/01/14      B   1.2
2018/01/14.1    I   1.2
