MJD FILTER
57070.10858576 g
57070.11256501 g
57070.11392761 g
57070.11526285 g
57070.11660026 g
57070.12193703 g
57070.12328137 g
57070.1246159 g
57070.1259416 g
57070.13129269 g
57070.13263391 g
57070.13399296 g
57070.13532061 g
57070.13931951 g
57070.14067593 g
57070.14200356 g
57070.14333144 g
57070.14467221 g
57070.14600929 g
57070.14736067 g
57070.15002965 g
57070.15136715 g
57070.15270299 g
57070.15671115 g
57070.15804013 g
57070.15938878 g
57070.16074398 g
57070.1620737 g
57070.16342743 g
57070.16608884 g
57070.1836009 g
57070.18496342 g
57070.18628606 g
57070.18894879 g
57070.19028167 g
57070.1935601 g
57070.1977226 g
57070.1990872 g
57070.2004173 g
57070.2017476 g
57070.2072152 g
57070.2086049 g
57070.2099963 g
57070.2113827 g
57070.2167215 g
57070.2180953 g
57070.2194511 g
57070.2207707 g
57070.2249242 g
57070.2262864 g
57070.2276094 g
57070.2289438 g
57070.230266 g
57070.2316366 g
57070.2330268 g
57070.2358026 g
57070.2371948 g
57070.2385842 g
57070.2426175 g
57070.2439525 g
57070.2452939 g
57070.2466948 g
57070.248004 g
57070.2493608 g
57070.2521272 g
57070.253482 g
57070.254815 g
57070.2575659 g
57070.258953 g
57070.2622249 g
57070.2663597 g
57070.2677195 g
57070.2690565 g
57070.2703926 g
57070.275854 g
57070.2772391 g
57070.2786409 g
57070.2800182 g
57070.2854458 g
57070.2868452 g
57070.288208 g
57070.2895389 g
57070.2935577 g
57070.2949166 g
57070.2962516 g
57070.2975852 g
57070.2989133 g
57070.3002428 g
57070.3016566 g
57070.3044483 g
57070.3058296 g
57070.3072207 g
57070.3113891 g
57070.3127744 g
57070.3141609 g
57070.3155476 g
57070.3169342 g
57070.3182988 g
57070.3209626 g
57070.3223755 g
57070.3237655 g
57070.3265598 g
57070.3279325 g
57070.3324582 g
57070.3338368 g
57070.3351981 g
57070.3365314 g
57070.3405387 g
57070.341931 g
57070.3433271 g
57070.3447278 g
57070.3461078 g
57070.347505 g
57070.3488716 g
57070.3515297 g
57070.3528677 g
57070.3542029 g
57070.3583787 g
57070.3597705 g
57070.3611263 g
57070.3624749 g
57070.3637945 g
57070.3652113 g
57070.3679811 g
57070.3693403 g
57070.3706674 g
57070.37342 g
57070.3748081 g
57071.0372791 g
57071.0413614 g
57071.0427238 g
57071.044058 g
57071.0453916 g
57071.0507509 g
57071.0520832 g
57071.0534141 g
57071.0547404 g
57071.0601069 g
57071.0614963 g
57071.0628637 g
57071.0641999 g
57071.0682754 g
57071.0696431 g
57071.0709622 g
57071.0722943 g
57071.073628 g
57071.0749578 g
57071.0763185 g
57071.0790991 g
57071.0804328 g
57071.0817594 g
57071.085781 g
57071.0871079 g
57071.0884497 g
57071.0898097 g
57071.0911249 g
57071.0924782 g
57071.0951591 g
57071.0965764 g
57071.0978992 g
57071.1006198 g
57071.1019546 g
57071.1051424 g
57071.109123 g
57071.1104904 g
57071.1118209 g
57071.1131551 g
57071.1185064 g
57071.1198347 g
57071.12117 g
57071.1225111 g
57071.1291896 g
57071.1305487 g
57071.1318719 g
57071.1358795 g
57071.1372445 g
57071.1398979 g
57071.1412383 g
57071.1425671 g
57071.143925 g
57071.1465826 g
57071.1479168 g
57071.1492458 g
57071.1532507 g
57071.1545744 g
57071.1559281 g
57071.1572817 g
57071.15862 g
57071.1599776 g
57071.1626183 g
57071.16397 g
57071.1653017 g
57071.167966 g
57071.1692949 g
57071.1726128 g
57071.1767768 g
57071.1781385 g
57071.1794721 g
57071.1807974 g
57071.1861697 g
57071.1874999 g
57071.1888197 g
57071.1902024 g
57071.1955317 g
57071.1969179 g
57071.1982768 g
57071.1996069 g
57071.2036092 g
57071.2050152 g
57071.2064075 g
57071.2077913 g
57071.20911 g
57071.2104398 g
57071.211847 g
57071.2146193 g
57071.2160155 g
57071.2173995 g
57071.2214237 g
57071.2227531 g
57071.2240972 g
57071.2255042 g
57071.2268221 g
57071.2281741 g
57071.2322933 g
57071.2336225 g
57071.2363844 g
57071.2377721 g
57071.2409471 g
57071.2449405 g
57071.2463396 g
57071.2477212 g
57071.249132 g
57071.2546678 g
57071.256071 g
57071.2574727 g
57071.2601576 g
57071.2656643 g
57071.2670536 g
57071.2684139 g
57071.2697431 g
57071.2738799 g
57071.2752425 g
57071.276567 g
57071.2779316 g
57071.2793232 g
57071.2807121 g
57071.2820768 g
57071.284774 g
57071.2861523 g
57071.2875385 g
57071.2915803 g
57071.2929766 g
57071.2943927 g
57071.2957509 g
57071.2971454 g
57071.2985095 g
57071.3011757 g
57071.3025873 g
57071.3039785 g
57071.3067544 g
57071.3081428 g
57071.3113845 g
57071.3155583 g
57071.3169235 g
57071.3182669 g
57071.3196084 g
57071.32507 g
57071.3264044 g
57071.3277374 g
57071.3290763 g
57071.3346489 g
57071.3360311 g
57071.3374218 g
57071.3388119 g
57071.3428981 g
57071.3442543 g
57071.3456455 g
57071.3470284 g
57071.3483679 g
57071.3497058 g
57071.3510662 g
57071.3537621 g
57071.3551409 g
57071.3565345 g
57071.3605515 g
57071.3618761 g
57071.3632191 g
57071.3646235 g
57071.3659415 g
57071.3673198 g
57071.3699748 g
57071.3713299 g
57071.3726491 g
57071.3753081 g
57071.3766442 g
57072.0340498 g
57072.0380411 g
57072.0394 g
57072.0407293 g
57072.0420519 g
57072.0474274 g
57072.04876 g
57072.0501682 g
57072.0514953 g
57072.0568412 g
57072.0581776 g
57072.059526 g
57072.0609373 g
57072.0649289 g
57072.0663697 g
57072.0676982 g
57072.06903 g
57072.0704085 g
57072.0718093 g
57072.0731738 g
57072.0758535 g
57072.077189 g
57072.0785234 g
57072.0825445 g
57072.0838676 g
57072.0852101 g
57072.0866109 g
57072.0879301 g
57072.0892808 g
57072.0919318 g
57072.0932936 g
57072.0946184 g
57072.0972817 g
57072.0986127 g
57072.1017795 g
57072.1057728 g
57072.1071232 g
57072.1084477 g
57072.1097672 g
57072.1151332 g
57072.1164617 g
57072.1177877 g
57072.1191074 g
57072.1244666 g
57072.1258073 g
57072.1271633 g
57072.1284823 g
57072.1324854 g
57072.1338538 g
57072.1351824 g
57072.1365163 g
57072.1378371 g
57072.1391773 g
57072.1405362 g
57072.1432071 g
57072.1445419 g
57072.1458764 g
57072.1498808 g
57072.1512081 g
57072.152555 g
57072.1552203 g
57072.1565374 g
57072.1578957 g
57072.160557 g
57072.16192 g
57072.1632386 g
57072.1658917 g
57072.1672327 g
57072.1746915 g
57072.1760503 g
57072.1773785 g
57072.1787153 g
57072.1841857 g
57072.1855699 g
57072.1869637 g
57072.1883494 g
57072.1937921 g
57072.1951827 g
57072.1965412 g
57072.1978605 g
57072.202007 g
57072.2033896 g
57072.2047875 g
57072.2061722 g
57072.2075648 g
57072.2089537 g
57072.2103164 g
57072.2129706 g
57072.2143034 g
57072.2156263 g
57072.2196423 g
57072.2209655 g
57072.2223061 g
57072.2236588 g
57072.2250374 g
57072.2263896 g
57072.2290578 g
57072.230482 g
57072.2318689 g
57072.2346584 g
57072.2360367 g
57072.2392548 g
57072.2432565 g
57072.2446089 g
57072.2459911 g
57072.2473794 g
57072.2529308 g
57072.2543334 g
